Price,Close,High,Low,Open,Volume,Log_Returns
Ticker,SBAC,SBAC,SBAC,SBAC,SBAC,
Date,,,,,,
1999-06-16,8.284005165100098,8.692371616900807,7.583948390584597,8.459019358728973,5718100,
1999-06-17,8.108992576599121,8.284006804871044,7.233921435239504,8.167330652689762,542200,-0.021352926526367843
1999-06-18,8.400680541992188,8.517356660630968,7.992314126756456,7.992314126756456,557600,0.03533907896148175
1999-06-21,8.634034156799316,9.100738705815495,8.400681882291227,8.459019950918249,218000,0.027399133734585104
1999-06-22,8.45901870727539,8.867385127626617,8.400680647225215,8.45901870727539,281400,-0.020478678363284906
1999-06-23,8.750710487365723,8.867386627197266,8.400682067871093,8.400682067871093,395200,0.03390172078647338
1999-06-24,8.517358779907227,8.984063370587075,8.400682632237265,8.750711075247152,238100,-0.027028605206927642
1999-06-25,8.575697898864746,8.604866939337075,8.400683656030772,8.517359817920088,172400,0.00682608694066804
1999-06-28,8.634034156799316,8.750710294053361,8.400681882291227,8.400681882291227,81400,0.006779475843071188
1999-06-29,8.750710487365723,9.567443466186523,8.63403434753418,8.750710487365723,321500,0.01342304242318838
1999-06-30,9.042397499084473,9.450763837752804,8.750707257178522,8.750707257178522,429900,0.03278945368864443
1999-07-01,9.275752067565918,9.684118510792091,8.867385624339747,9.159075940929869,363500,0.025479341340276518
1999-07-02,10.150821685791016,10.150821685791016,9.450765017805429,9.450765017805429,460800,0.090150965818199
1999-07-06,9.975810050964355,10.267500403331734,9.800795839543929,10.150824262384782,565900,-0.017391488880847468
1999-07-07,10.150821685791016,10.384173908452878,9.684117240467291,9.97580751879462,270500,0.017391488880847336
1999-07-08,11.434260368347168,12.134317125592913,10.617527484893799,10.96755586351667,1793800,0.11905948752016897
1999-07-09,12.601019859313965,12.83437207893089,11.375920706325108,11.434258761229339,1738400,0.09716360790079247
1999-07-12,13.82612133026123,14.351163912423049,12.717698101252946,13.067726489360826,5465000,0.09278190110164332
