Price,Close,High,Low,Open,Volume,Log_Returns
Ticker,CACC,CACC,CACC,CACC,CACC,
Date,,,,,,
1999-03-09,5.75,5.75,5.625,5.6875,22700,0.01092907053219023
1999-03-10,6.125,6.125,5.5,5.625,70100,0.06317890162153167
1999-03-11,5.9375,6.0625,5.9375,5.9375,59300,-0.03109058707003112
1999-03-12,5.9375,6.0625,5.9375,5.9375,53600,0.0
1999-03-15,5.8125,6.0,5.75,5.9375,177900,-0.02127739844728485
1999-03-16,5.75,5.875,5.75,5.75,45900,-0.010810916104215617
1999-03-17,5.6875,5.8125,5.625,5.75,48300,-0.010929070532190317
1999-03-18,5.8125,5.8125,5.625,5.6875,451200,0.02173998663640582
1999-03-19,5.6875,5.75,5.625,5.625,26100,-0.021739986636405875
1999-03-22,5.71875,5.8125,5.625,5.6875,88500,0.0054794657646255705
1999-03-23,5.6875,5.703125,5.625,5.6875,95000,-0.005479465764625596
1999-03-24,5.625,5.6875,5.625,5.625,117100,-0.011049836186584935
1999-03-25,5.6875,5.8125,5.6875,5.75,63200,0.011049836186584935
1999-03-26,5.75,5.8125,5.703125,5.8125,45000,0.01092907053219023
1999-03-29,5.8125,5.8125,5.6875,5.6875,227500,0.010810916104215676
1999-03-30,6.125,6.25,5.6875,5.6875,145600,0.05236798551731594
1999-03-31,5.6875,6.25,5.6875,6.25,628100,-0.07410797215372185
1999-04-01,5.6875,5.75,5.625,5.6875,10100,0.0
1999-04-05,5.75,5.78125,5.6875,5.6875,49700,0.01092907053219023
1999-04-06,5.75,5.875,5.6875,5.6875,43600,0.0
1999-04-07,5.75,5.9375,5.6875,5.6875,19100,0.0
1999-04-08,5.71875,5.75,5.6875,5.6875,183500,-0.005449604767564703
1999-04-09,5.375,5.75,5.375,5.75,77300,-0.06199167602796785
1999-04-12,5.5625,5.625,5.375,5.375,110400,0.034289073478632165
1999-04-13,5.5625,5.75,5.375,5.375,167400,0.0
1999-04-14,6.8125,7.25,5.4375,5.4375,127000,0.20271151249700395
1999-04-15,7.125,7.125,5.375,6.3125,159300,0.04485056616535171
1999-04-16,7.546875,7.5625,6.4375,6.5,77100,0.05752384413818652
1999-04-19,7.25,7.75,7.25,7.3125,30900,-0.04013210142631742
1999-04-20,7.0,7.25,7.0,7.125,16700,-0.03509131981127006
1999-04-21,7.5,7.5,7.0,7.125,41600,0.06899287148695142
1999-04-22,7.625,8.625,7.0,7.0,80200,0.016529301951210506
1999-04-23,7.25,7.75,7.25,7.625,22300,-0.05043085362689197
1999-04-26,7.125,7.25,7.125,7.25,3900,-0.01739174271186922
1999-04-27,6.75,7.0625,6.75,7.0625,7500,-0.05406722127027582
1999-04-28,6.625,7.25,6.625,7.0,26400,-0.01869213301215252
1999-04-29,6.9375,6.9375,6.625,6.6875,16000,0.04609110720026709
1999-04-30,7.0,7.0,6.5,6.5,62500,0.008968669982760316
1999-05-03,6.75,6.84375,6.625,6.625,9400,-0.03636764417087483
1999-05-04,6.375,6.75,6.375,6.75,18500,-0.05715841383994864
1999-05-05,6.1875,6.3125,5.75,6.3125,36900,-0.02985296314968116
1999-05-06,6.375,6.375,6.0,6.0,8100,0.02985296314968113
1999-05-07,6.4375,6.6875,6.375,6.625,4900,0.009756174945364656
1999-05-10,6.0,6.453125,5.9375,6.4375,34800,-0.0703807967617995
1999-05-11,6.25,6.3125,6.0625,6.3125,9700,0.0408219945202552
1999-05-12,6.125,6.3125,5.9375,6.3125,14200,-0.020202707317519466
1999-05-13,6.125,6.3125,6.125,6.25,8600,0.0
1999-05-14,5.875,6.3125,5.875,6.3125,8200,-0.041672696400568074
1999-05-17,5.9375,6.0625,5.875,6.0,13200,0.010582109330537008
1999-05-18,6.5625,7.3125,5.875,5.875,46200,0.10008345855698263
1999-05-19,6.5,6.5625,6.40625,6.40625,2200,-0.009569451016150672
1999-05-20,6.3125,6.6875,6.25,6.6875,7000,-0.029270382300113224
1999-05-21,5.8125,6.375,5.75,6.34375,66100,-0.08252102368800347
1999-05-24,5.75,6.0,5.75,5.9375,15900,-0.010810916104215617
1999-05-25,5.5625,5.8125,5.5625,5.5625,1600,-0.03315220731690051
1999-05-26,6.0625,6.0625,5.5625,5.625,44500,0.08607460877124298
1999-05-27,5.8125,6.0,5.8125,6.0,4600,-0.04211148535012685
1999-05-28,6.0,6.0,5.75,6.0,19700,0.03174869831458027
1999-06-01,5.9375,6.0,5.75,6.0,20100,-0.010471299867295366
1999-06-02,5.5625,6.0,5.375,5.75,111800,-0.06524052186840097
1999-06-03,5.5,5.8125,5.375,5.5625,103600,-0.011299555253933394
1999-06-04,5.59375,5.625,5.5,5.5,124200,0.016901810802603254
1999-06-07,5.5,5.625,5.5,5.625,32200,-0.016901810802603254
1999-06-08,5.515625,5.625,5.5,5.5625,27600,0.0028368813351997567
