Date,Algorithm_Value,SPY_Value,Historical_SPY_Value,Historical_Algo_Value,Sim_ID
1999-05-25,10256.27,0.00,10510.57,11662.23,9
1999-05-26,10277.23,0.00,10627.70,11657.14,9
1999-05-27,10291.09,0.00,10474.93,11674.94,9
1999-05-28,10300.58,0.00,10608.60,11615.21,9
1999-06-01,10289.90,0.00,10571.68,11708.48,9
1999-06-02,10289.62,0.00,10581.86,11770.97,9
1999-06-03,10290.83,0.00,10640.43,11781.49,9
1999-06-04,10304.05,0.00,10854.31,11793.17,9
1999-06-07,10295.79,0.00,10882.31,11917.59,9
1999-06-08,10292.70,0.00,10775.38,11988.47,9
1999-06-09,10293.37,0.00,10765.19,11994.62,9
1999-06-10,10291.29,0.00,10665.89,11978.12,9
1999-06-11,10332.19,0.00,10576.77,11946.48,9
1999-06-14,10315.03,0.00,10586.96,11926.04,9
1999-06-15,10328.28,0.00,10658.25,11929.08,9
1999-06-16,10327.81,0.00,10861.94,12003.31,9
1999-06-17,10332.86,0.00,10963.79,12044.91,9
1999-06-18,10302.41,0.00,10976.46,12120.10,9
1999-06-21,10302.01,0.00,11001.99,12145.64,9
1999-06-22,10314.26,0.00,10925.38,12096.00,9
1999-06-23,10280.86,0.00,10871.74,12081.37,9
1999-06-24,10291.21,0.00,10790.03,12098.69,9
1999-06-25,10292.35,0.00,10763.21,12042.83,9
1999-06-28,10281.34,0.00,10894.73,12076.28,9
1999-06-29,10272.25,0.00,10996.88,12165.89,9
1999-06-30,10292.41,0.00,11196.09,12330.54,9
1999-07-01,10282.86,0.00,11280.37,12444.75,9
1999-07-02,10265.54,0.00,11392.73,12482.42,9
1999-07-06,10283.27,0.00,11390.18,12536.57,9
1999-07-07,10274.91,0.00,11405.50,12491.01,9
1999-07-08,10292.47,0.00,11414.44,12469.72,9
1999-07-09,10312.45,0.00,11482.12,12513.81,9
1999-07-12,10340.20,0.00,11431.05,12596.82,9
1999-07-13,10351.76,0.00,11390.18,12511.69,9
1999-07-14,10366.83,0.00,11454.02,12550.98,9
1999-07-15,10385.82,0.00,11526.81,12637.80,9
1999-07-16,10382.09,0.00,11589.38,12720.98,9
1999-07-19,10407.28,0.00,11512.77,12771.74,9
1999-07-20,10411.29,0.00,11276.53,12625.66,9
1999-07-21,10425.23,0.00,11263.77,12508.92,9
1999-07-22,10447.27,0.00,11115.64,12539.90,9
1999-07-23,10423.97,0.00,11093.93,12532.70,9
1999-07-26,10416.13,0.00,11012.21,12498.86,9
1999-07-27,10439.14,0.00,11104.15,12536.77,9
1999-07-28,10460.90,0.00,11139.90,12478.47,9
1999-07-29,10461.90,0.00,10984.12,12429.40,9
1999-07-30,10449.69,0.00,10848.77,12414.23,9
1999-08-02,10461.81,0.00,10874.30,12399.68,9
1999-08-03,10488.77,0.00,10823.23,12450.70,9
1999-08-04,10497.29,0.00,10675.10,12394.52,9
1999-08-05,10505.00,0.00,10772.16,12410.72,9
1999-08-06,10513.00,0.00,10654.68,12428.35,9
1999-08-09,10525.05,0.00,10631.69,12431.57,9
1999-08-10,10543.48,0.00,10514.21,12440.13,9
1999-08-11,10500.71,0.00,10641.91,12414.93,9
1999-08-12,10477.41,0.00,10635.52,12509.25,9
1999-08-13,10487.06,0.00,10881.97,12541.47,9
1999-08-16,10484.99,0.00,10930.48,12563.94,9
1999-08-17,10485.96,0.00,11001.99,12659.74,9
1999-08-18,10504.44,0.00,10922.83,12689.30,9
1999-08-19,10497.83,0.00,10833.44,12551.03,9
1999-08-20,10499.64,0.00,10943.25,12584.79,9
1999-08-23,10522.42,0.00,11152.67,12695.59,9
1999-08-24,10541.16,0.00,11193.53,12821.82,9
1999-08-25,10569.18,0.00,11308.46,12902.99,9
1999-08-26,10559.46,0.00,11173.10,12940.27,9
1999-08-27,10566.51,0.00,11037.75,12866.20,9
1999-08-30,10564.07,0.00,10833.44,12760.83,9
1999-08-31,10586.75,0.00,10792.58,12702.45,9
1999-09-01,10580.41,0.00,10925.38,12713.17,9
1999-09-02,10570.98,0.00,10796.41,12660.24,9
1999-09-03,10566.37,0.00,11111.81,12772.85,9
1999-09-07,10583.19,0.00,11070.95,12902.40,9
1999-09-08,10616.56,0.00,11017.32,12877.31,9
1999-09-09,10629.83,0.00,11012.21,12897.17,9
1999-09-10,10618.28,0.00,11104.15,12989.81,9
1999-09-13,10632.22,0.00,11028.81,12984.33,9
1999-09-14,10666.48,0.00,10956.03,12938.38,9
1999-09-15,10654.01,0.00,10782.37,13009.38,9
1999-09-16,10661.57,0.00,10824.51,12909.60,9
1999-09-17,10664.75,0.00,10961.27,12902.23,9
1999-09-20,10665.45,0.00,10945.91,12989.39,9
1999-09-21,10662.52,0.00,10715.41,12929.38,9
1999-09-22,10672.12,0.00,10703.88,12833.87,9
1999-09-23,10668.29,0.00,10479.80,12874.90,9
1999-09-24,10664.92,0.00,10469.55,12709.73,9
1999-09-27,10648.55,0.00,10538.70,12783.56,9
1999-09-28,10644.99,0.00,10518.21,12798.30,9
1999-09-29,10632.94,0.00,10392.72,12817.86,9
1999-09-30,10634.04,0.00,10551.51,12824.93,9
1999-10-01,10618.68,0.00,10528.46,12965.72,9
1999-10-04,10611.51,0.00,10715.41,12950.41,9
1999-10-05,10636.59,0.00,10705.17,13114.61,9
1999-10-06,10623.28,0.00,10869.08,13074.63,9
1999-10-07,10648.88,0.00,10807.61,13145.69,9
1999-10-08,10654.30,0.00,10971.52,13025.01,9
1999-10-11,10685.96,0.00,10953.59,13099.21,9
1999-10-12,10683.05,0.00,10784.56,13155.59,9
