DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,LOG_RETURNS
1999-01-04,17.857615743364608,18.14667786870684,17.857615743364608,17.986087799072266,432200,
1999-01-05,17.536447869970445,18.30728074337574,17.47221179718667,18.114572525024414,727400,0.00711816721948054
1999-01-06,18.114576646498033,18.56422925829054,18.01822251539964,18.37152099609375,767200,0.014084967404256937
1999-01-07,18.243045060235833,18.243045060235833,17.793392541145515,18.050336837768555,440900,-0.01763734765013572
1999-01-08,18.050338157721324,18.178810315427526,17.92186600001512,18.146692276000977,480100,0.005323954378959842
1999-01-11,18.114571185380274,18.178807253413538,17.536446573080905,17.697036743164062,584100,-0.025091090432175285
1999-01-12,17.69703136068402,17.69703136068402,16.894080754482385,16.958316802978516,2396000,-0.042638829592535704
1999-01-13,16.958315299321146,16.958315299321146,16.508662999717934,16.540781021118164,760300,-0.0249294717103721
1999-01-14,16.540791150182486,16.540791150182486,16.1553746573627,16.44443702697754,716300,-0.005841663255247245
1999-01-15,16.50867310911417,16.50867310911417,16.059020534157753,16.44443702697754,481700,0.0
1999-01-19,16.315968583639762,16.380204680425745,15.352427131850012,16.155378341674805,725800,-0.01773422688490987
1999-01-20,15.802062436568834,15.866298462733749,15.063348135672323,15.54511833190918,739600,-0.038506362782225835
1999-01-21,15.352419299843872,15.834189779964495,15.288183235827788,15.609363555908203,585700,0.004124306435101282
1999-01-22,15.673603478191795,15.802075637849104,15.416659158877176,15.448777198791504,2035500,-0.010341107631303123
1999-01-25,15.41665744781494,15.609365665912627,15.159713157018023,15.416657447814941,3179300,-0.0020812771917053823
1999-01-26,15.416655937024593,15.834190368652344,15.416655937024593,15.834190368652344,1019400,0.02672297214347842
1999-01-27,15.866308575969631,15.962662676633414,14.934885602886395,15.159711837768555,712000,-0.043530177483242914
1999-01-28,15.127598762512209,15.416661159248111,15.063362674348674,15.127598762512207,451600,-0.0021205638040284673
1999-01-29,14.934894470458335,15.22395694408011,14.677950049461204,15.095484733581543,646900,-0.002125133328695998
1999-02-01,14.902769493587167,14.96700556899056,14.645825191973595,14.677943229675293,948000,-0.028049768437962183
